firstname,lastname,guild,race,gender,face,skin,profession,alive,level,hp,maxhp,bp,maxbp,mp,maxmp,ep,maxep,strength,constitution,intelligence,dexterity,head,chest,arms,hands,legs,feet,cloak,righthand,lefthand,zone,x,y,z,direction
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,5,65,65,43,43,35,35,23,23,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,6,73,73,49,49,37,37,25,25,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,5,65,65,43,43,35,35,23,23,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,6,73,73,49,49,37,37,25,25,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,5,44,44,29,29,55,55,37,37,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,6,48,48,32,32,61,61,41,41,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,5,44,44,29,29,55,55,37,37,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,6,48,48,32,32,61,61,41,41,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,5,44,44,29,29,55,55,37,37,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,6,48,48,32,32,61,61,41,41,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,5,44,44,29,29,55,55,37,37,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,6,48,48,32,32,61,61,41,41,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,5,44,44,29,29,55,55,37,37,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,6,48,48,32,32,61,61,41,41,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,Acolyte,,goblin,0,0,0,,1,4,41,41,27,27,49,49,33,33,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,25,0
Goblin,King,,goblin,0,0,0,,1,7,81,81,54,54,81,81,54,54,35,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,25,25,0
Guild,Master,,human,0,0,0,,1,15,115,115,77,77,115,115,77,77,40,40,40,40,0,0,0,0,0,0,0,0,0,Newcomers_Guild,34,0.4,24,-90
